"Id","Latitude","Longitude","UTC","DeviceName","DeviceId","Message","recordingEffort","knots","DriftName","DeploymentSite","bearing","seadepth"
3508113007,28.72683,-116.47705,2018-11-07 14:28:25,"C","0-2572479","UNLIMITED-TRACK",TRUE,NA,"CCES_022","BCN",10.1802194676431,3916
3508113008,28.73326,-116.47574,2018-11-07 15:31:50,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.369158283541635,"CCES_022","BCN",16.4270908023425,3916
3508113009,28.7361,-116.47479,2018-11-07 15:57:38,"D","0-2573433","UNLIMITED-TRACK",TRUE,NA,"CCES_022","BCN",14.8105121223342,4015
3508113010,28.7393,-116.47383,2018-11-07 16:31:00,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.355488063745983,"CCES_022","BCN",17.0430308069853,4015
3508113011,28.74183,-116.47295,2018-11-07 16:59:37,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.331374574061783,"CCES_022","BCN",30.4367041213663,4049
3508113012,28.74195,-116.47287,2018-11-07 17:01:01,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.363672687405084,"CCES_022","BCN",60.7010496771302,4049
3508113013,28.74331,-116.47012,2018-11-07 17:27:23,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.374301080779741,"CCES_022","BCN",305.474901163743,4049
3508113014,28.74434,-116.47176,2018-11-07 17:30:56,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.309339112025513,"CCES_022","BCN",25.518300013286,4049
3508113015,28.74674,-116.47046,2018-11-07 17:58:58,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.33996136860232,"CCES_022","BCN",47.1268084019175,4049
3508113016,28.74683,-116.47035,2018-11-07 18:01:03,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.37529726750253,"CCES_022","BCN",30.8720935831321,4049
3508113018,28.74854,-116.46919,2018-11-07 18:30:56,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.237612904791014,"CCES_022","BCN",180,4049
3508113017,28.74854,-116.46919,2018-11-07 18:30:56,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.238910811436907,"CCES_022","BCN",32.7446101014656,4049
3508113019,28.74965,-116.46838,2018-11-07 18:57:00,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.181430474908929,"CCES_022","BCN",33.4628407652835,4049
3508113020,28.74969,-116.46835,2018-11-07 18:57:51,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.182084126631056,"CCES_022","BCN",30.0857355884842,4049
3508113021,28.75077,-116.46764,2018-11-07 19:30:28,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.138776368067493,"CCES_022","BCN",33.8319681940586,4049
3508113022,28.75148,-116.4671,2018-11-07 19:57:07,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.114933215477027,"CCES_022","BCN",38.0726845817233,4049
3508113023,28.75229,-116.46638,2018-11-07 20:26:29,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.125558077686501,"CCES_022","BCN",98.7960783761102,4049
3508113024,28.75226,-116.46616,2018-11-07 20:30:20,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.124535612885404,"CCES_022","BCN",9.10288856125636,4049
3508113025,28.75314,-116.466,2018-11-07 21:00:09,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.107113052883037,"CCES_022","BCN",2.70287671887101,4049
3508113026,28.7537,-116.46597,2018-11-07 21:28:42,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.0838372056677038,"CCES_022","BCN",327.811579189486,4049
3508113027,28.75419,-116.46632,2018-11-07 21:56:14,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.0753576685825382,"CCES_022","BCN",343.568835862184,4049
3508113028,28.7567,-116.46716,2018-11-07 22:28:51,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.287513375441625,"CCES_022","BCN",177.197240321115,4049
3508113029,28.75616,-116.46713,2018-11-07 22:57:32,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.0970792840770285,"CCES_022","BCN",345.517891389438,4049
3508113030,28.75732,-116.46747,2018-11-07 23:27:32,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.143111643839351,"CCES_022","BCN",346.48646253494,4049
3508113031,28.75743,-116.4675,2018-11-07 23:28:51,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.0471293319242527,"CCES_022","BCN",357.821683518632,4049
3508113032,28.75882,-116.46756,2018-11-07 23:56:14,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.182035983079906,"CCES_022","BCN",0,4067
3508113033,28.75891,-116.46756,2018-11-07 23:57:32,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.19016485294112,"CCES_022","BCN",353.148143016323,4067
3508113034,28.76045,-116.46777,2018-11-08 00:25:44,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.199278887056138,"CCES_022","BCN",16.7756929617416,4067
3508113035,28.76083,-116.46764,2018-11-08 00:28:46,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.22043996936712,"CCES_022","BCN",348.371976804583,4067
3508113036,28.7625,-116.46803,2018-11-08 00:57:36,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.231967741788219,"CCES_022","BCN",302.230667556523,4067
3508113037,28.76255,-116.46812,2018-11-08 00:58:52,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.210875579466943,"CCES_022","BCN",355.203066955208,4067
3508113038,28.76465,-116.46832,2018-11-08 01:29:18,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.244759934378244,"CCES_022","BCN",1.94097043658865,4067
3508113039,28.76725,-116.46822,2018-11-08 01:59:09,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.31231552595671,"CCES_022","BCN",8.62259433368695,4067
3508113040,28.77643,-116.46664,2018-11-08 03:29:08,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.369771440460465,"CCES_022","BCN",17.4000384852702,4064
3508113041,28.77941,-116.46558,2018-11-08 03:55:17,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.427960395561999,"CCES_022","BCN",23.2221121315912,4064
3508113042,28.78674,-116.46201,2018-11-08 04:58:40,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.450962589501956,"CCES_022","BCN",25.1953142280028,4064
3508113043,28.79041,-116.46005,2018-11-08 05:28:35,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.485835248778453,"CCES_022","BCN",37.3927388823697,4064
3508113044,28.79298,-116.45782,2018-11-08 05:58:35,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.386404915277588,"CCES_022","BCN",26.2994661839127,3874
3508113045,28.79601,-116.45612,2018-11-08 06:27:11,"C","0-2572479","UNLIMITED-TRACK",TRUE,0.38301241671171,"CCES_022","BCN",26.7187142446964,3874
3508113046,28.79615,-116.45604,2018-11-08 06:28:35,"D","0-2573433","UNLIMITED-TRACK",TRUE,0.42245508350328,"CCES_022","BCN",38.4062291447275,3874
